green1(left)	e4:5f:01:f6:07:87	85b6d0ea	192.168.2.20
green2		e4:5f:01:f6:08:02	0783b082	192.168.2.21
green3		e4:5f:01:f6:07:c6	c72aafcf	192.168.2.22
green4		e4:5f:01:f6:07:8d	7cb48d88	192.168.2.23
green5		e4:5f:01:f5:f1:5d	43b5285d	192.168.2.24
green6		e4:5f:01:f6:07:e4	7adb8fa7	192.168.2.25
green7		e4:5f:01:f5:f1:ea	e38b3110	192.168.2.26
green8(right)	e4:5f:01:f5:f1:87	26e8a399	192.168.2.27
yellow1(left)	e4:5f:01:f5:f2:05	800fbfc4	192.168.2.28
yellow2		e4:5f:01:f5:f2:11	4c9e9b20	192.168.2.29
yellow3		e4:5f:01:f5:f1:ae	c0a3cab4	192.168.2.30
yellow4		e4:5f:01:f5:f0:dc	d31716f4	192.168.2.31
yellow5		e4:5f:01:f5:f1:a5	ac1e75dd	192.168.2.32
yellow6		e4:5f:01:f5:f2:38	d510fe23	192.168.2.33
yellow7		e4:5f:01:f5:f1:96	69f990f7	192.168.2.34
yellow8(right)	e4:5f:01:f5:f1:d2	0349cde2	192.168.2.35
MLops_master    d8:3a:dd:0b:01:2c       2490e89e        192.168.2.2
